time="2024-03-18 17:42:38" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2024-03-18 17:42:42" level=info msg="| 200 |    2.555445ms |             ::1 | GET | /main |"
time="2024-03-18 17:42:42" level=info msg="| 200 |   2.47890436s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMDY4MzM4Nywia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.-lmfaCtClwwHBc4eN7KTk6zZ2YDAez9TYUh_l6rXQoQ |"
time="2024-03-18 17:42:42" level=info msg="| 200 |    1.136077ms |             ::1 | POST | /check_auth |"
time="2024-03-18 17:42:42" level=info msg="| 200 |    3.397425ms |             ::1 | GET | /chat_main |"
time="2024-03-18 17:42:43" level=info msg="| 200 |     573.492µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-18 17:42:43" level=info msg="| 200 |    9.168418ms |             ::1 | GET | /ipblacks |"
time="2024-03-18 17:42:43" level=info msg="| 200 |   42.305617ms |             ::1 | GET | /kefuinfo |"
time="2024-03-18 17:42:43" level=info msg="| 200 |   82.919289ms |             ::1 | GET | /replys |"
time="2024-03-18 17:42:49" level=info msg="| 200 |     4.99784ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-03-18 17:42:50" level=info msg="| 200 |  118.370218ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-03-18 17:42:50" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
