time="2024-03-19 20:20:03" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2024-03-19 20:20:03" level=info msg="| 200 |    3.359702ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-03-19 20:20:04" level=info msg="| 200 |   10.520889ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-03-19 20:20:04" level=info msg="| 200 |   10.711352ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-19 20:20:04" level=info msg="| 200 |    2.220767ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-03-19 20:20:11" level=info msg="| 200 |    1.747238ms |             ::1 | GET | /main |"
time="2024-03-19 20:20:11" level=info msg="| 200 |  7.025731368s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMDc2NjgxMiwia2VmdV9pZCI6MywibmFtZSI6ImNqayIsInJvbGVfaWQiOjEsInR5cGUiOiJrZWZ1In0.VoA0VyAo3QvUFpHjObMZ2zQZmv7Isd63b4VjNk7MBg0 |"
time="2024-03-19 20:20:12" level=info msg="| 200 |    1.004643ms |             ::1 | POST | /check_auth |"
time="2024-03-19 20:20:12" level=info msg="| 200 |    2.744363ms |             ::1 | GET | /chat_main |"
time="2024-03-19 20:20:13" level=info msg="| 200 |     1.33625ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-19 20:20:13" level=info msg="| 200 |    5.378663ms |             ::1 | GET | /ipblacks |"
time="2024-03-19 20:20:13" level=info msg="| 200 |    9.499117ms |             ::1 | GET | /kefuinfo |"
time="2024-03-19 20:20:13" level=info msg="| 200 |   25.820022ms |             ::1 | GET | /replys |"
time="2024-03-19 20:22:13" level=info msg="| 200 |     105.775µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-19 20:24:13" level=info msg="| 200 |      65.152µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-19 20:26:13" level=info msg="| 200 |       75.51µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-19 20:26:51" level=info msg="| 200 |   12.197854ms |       127.0.0.1 | GET | /chatIndex?kefu_id=cjk |"
time="2024-03-19 20:26:51" level=info msg="| 200 | 6m46.98091797s |       127.0.0.1 | GET | /ws_visitor?visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-19 20:27:04" level=info msg="| 200 |    4.457235ms |       127.0.0.1 | GET | /chatIndex?kefu_id=cjk |"
time="2024-03-19 20:28:13" level=info msg="| 200 |       65.82µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-19 20:29:04" level=info msg="| 200 |    20.62153ms |       127.0.0.1 | POST | /visitor_login |"
