time="2024-03-20 17:59:20" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-20 17:59:20" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"我现在离线，稍后回复您！\",\"uid\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-20 17:59:20" level=info msg="| 404 |         136ns |             ::1 | GET | /favicon.ico |"
time="2024-03-20 17:59:20" level=info msg="| 200 |   16.909084ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-20 17:59:20" level=info msg="| 200 |     821.904µs |       127.0.0.1 | GET | /notice?kefu_id=cjk |"
time="2024-03-20 18:01:16" level=info msg="| 200 |      94.833µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 18:03:16" level=info msg="| 200 |     583.621µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 18:04:04" level=info msg="| 200 | 4m48.86985428s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMDkyODc1NCwia2VmdV9pZCI6MywibmFtZSI6ImNqayIsInJvbGVfaWQiOjEsInR5cGUiOiJrZWZ1In0.jeWWL5QCkRd32YULkCGA1W96KLGKtFsvViQXBu5-tco |"
time="2024-03-20 18:04:04" level=info msg="| 200 | 4m44.451412875s |       127.0.0.1 | GET | /ws_visitor?visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-20 18:04:09" level=info msg="| 200 |  2.363783148s |       127.0.0.1 | GET | /notice?kefu_id=cjk |"
time="2024-03-20 18:09:57" level=info msg="| 200 |    8.565349ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 18:26:01" level=info msg="| 200 |     661.661µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 18:40:15" level=info msg="| 200 |     226.022µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 18:51:39" level=info msg="| 200 |   10.468502ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:03:02" level=info msg="| 200 | 10m1.404980137s |       127.0.0.1 | GET | /ws_visitor?visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-20 19:03:02" level=info msg="| 200 |     427.143µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:23:24" level=info msg="| 200 |     126.706µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:34:47" level=info msg="| 200 |     448.705µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:41:10" level=info msg="| 200 |    9.712106ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:43:10" level=info msg="| 200 |     151.969µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:45:10" level=info msg="| 200 |      96.939µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:47:10" level=info msg="| 200 |     642.199µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:49:10" level=info msg="| 200 |     151.019µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:51:10" level=info msg="| 200 |      99.348µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:53:10" level=info msg="| 200 |      99.018µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:55:10" level=info msg="| 200 |     386.919µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:57:10" level=info msg="| 200 |     866.575µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 19:59:10" level=info msg="| 200 |     598.777µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:01:10" level=info msg="| 200 |     123.885µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:03:10" level=info msg="| 200 |     240.744µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:05:10" level=info msg="| 200 |     440.214µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:07:10" level=info msg="| 200 |      89.138µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:09:10" level=info msg="| 200 |     210.774µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:11:10" level=info msg="| 200 |      97.258µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:13:10" level=info msg="| 200 |     140.833µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:15:10" level=info msg="| 200 |     212.513µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:17:10" level=info msg="| 200 |     169.216µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-20 20:19:10" level=info msg="| 200 |     146.451µs |             ::1 | GET | /visitors_kefu_online |"
