time="2024-03-22 22:15:01" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-22 22:15:01" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"1\",\"uid\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-22 22:15:01" level=info msg="| 404 |         119ns |             ::1 | GET | /favicon.ico |"
time="2024-03-22 22:15:01" level=info msg="| 200 |   20.102591ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:15:01" level=info msg="| 200 |    1.370619ms |       127.0.0.1 | GET | /notice?kefu_id=cjk |"
time="2024-03-22 22:15:18" level=info msg="| 200 |    5.361698ms |             ::1 | GET | /visitor?visitorId=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:15:18" level=info msg="| 200 |   29.186042ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:15:21" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"客服cjk\",\"avator\":\"/static/images/4.jpg\",\"id\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2024-03-22 22:15:21\",\"to_id\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"content\":\"11\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"yes\"}}"
time="2024-03-22 22:15:21" level=info msg="| 200 |      8.3278ms |             ::1 | POST | /2/message |"
time="2024-03-22 22:15:21" level=info msg="| 404 |         144ns |       127.0.0.1 | GET | /favicon.ico |"
time="2024-03-22 22:16:44" level=info msg="| 200 |    8.142539ms |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:16:45" level=info msg="| 200 |     103.697µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:16:46" level=info msg="| 200 |    3.963486ms |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:16:51" level=info msg="| 200 |      77.719µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:16:53" level=info msg="| 200 |    1.876999ms |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:16:54" level=info msg="| 200 |     106.243µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:17:23" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"本机地址本机地址网友\",\"avator\":\"/static/images/2.png\",\"id\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2024-03-22 22:17:23\",\"to_id\":\"cjk\",\"content\":\"好的\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2024-03-22 22:17:23" level=info msg="| 200 |    4.567275ms |       127.0.0.1 | POST | /2/message |"
time="2024-03-22 22:17:25" level=info msg="| 200 |       80.32µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:17:26" level=info msg="| 200 |    1.044561ms |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:17:28" level=info msg="| 200 |      75.398µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:17:32" level=info msg="| 200 |    6.012271ms |             ::1 | GET | /main |"
time="2024-03-22 22:17:32" level=info msg="| 200 | 2m38.464295164s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTExNjg5Mywia2VmdV9pZCI6MywibmFtZSI6ImNqayIsInJvbGVfaWQiOjEsInR5cGUiOiJrZWZ1In0.WFrRMVv7PcrdsGCpXokHaZGi6NjoskxEioDqqhxpYS0 |"
time="2024-03-22 22:17:33" level=info msg="| 200 |    1.082303ms |             ::1 | POST | /check_auth |"
time="2024-03-22 22:17:33" level=info msg="| 200 |    7.602143ms |             ::1 | GET | /chat_main |"
time="2024-03-22 22:17:33" level=info msg="| 200 |       61.28µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:17:33" level=info msg="| 200 |    1.893179ms |             ::1 | GET | /kefuinfo |"
time="2024-03-22 22:17:33" level=info msg="| 200 |    1.338848ms |             ::1 | GET | /ipblacks |"
time="2024-03-22 22:17:33" level=info msg="| 200 |    7.780362ms |             ::1 | GET | /replys |"
time="2024-03-22 22:17:38" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"本机地址本机地址网友\",\"avator\":\"/static/images/2.png\",\"id\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2024-03-22 22:17:38\",\"to_id\":\"cjk\",\"content\":\"1\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2024-03-22 22:17:38" level=info msg="| 200 |    7.690606ms |       127.0.0.1 | POST | /2/message |"
time="2024-03-22 22:17:38" level=info msg="| 404 |         147ns |             ::1 | GET | /favicon.ico |"
time="2024-03-22 22:17:41" level=info msg="| 200 |    3.268415ms |             ::1 | GET | /pannel |"
time="2024-03-22 22:17:41" level=info msg="| 200 |   7.67635594s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTExNjg5Mywia2VmdV9pZCI6MywibmFtZSI6ImNqayIsInJvbGVfaWQiOjEsInR5cGUiOiJrZWZ1In0.WFrRMVv7PcrdsGCpXokHaZGi6NjoskxEioDqqhxpYS0 |"
time="2024-03-22 22:17:41" level=info msg="| 200 |   10.201448ms |             ::1 | GET | /kefu/chartStatistics |"
time="2024-03-22 22:17:43" level=info msg="| 200 |    6.699333ms |             ::1 | GET | /chat_main |"
time="2024-03-22 22:17:43" level=info msg="| 200 |      73.194µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:17:43" level=info msg="| 200 |    4.355541ms |             ::1 | GET | /kefuinfo |"
time="2024-03-22 22:17:43" level=info msg="| 200 |   11.505085ms |             ::1 | GET | /ipblacks |"
time="2024-03-22 22:17:43" level=info msg="| 200 |   13.724631ms |             ::1 | GET | /replys |"
time="2024-03-22 22:17:46" level=info msg="| 200 |    1.197617ms |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:17:46" level=info msg="| 200 |     954.375µs |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:17:46" level=info msg="| 200 |      70.198µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:17:57" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2024-03-22 22:17:58" level=info msg="| 200 |     560.969µs |       127.0.0.1 | GET | /notice?kefu_id=cjk |"
time="2024-03-22 22:18:01" level=info msg="| 200 |    1.372201ms |             ::1 | GET | /main |"
time="2024-03-22 22:18:01" level=info msg="| 200 |  3.002623298s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTExNjg5Mywia2VmdV9pZCI6MywibmFtZSI6ImNqayIsInJvbGVfaWQiOjEsInR5cGUiOiJrZWZ1In0.WFrRMVv7PcrdsGCpXokHaZGi6NjoskxEioDqqhxpYS0 |"
time="2024-03-22 22:18:01" level=info msg="| 200 |     799.207µs |             ::1 | POST | /check_auth |"
time="2024-03-22 22:18:01" level=info msg="| 200 |    3.653713ms |             ::1 | GET | /chat_main |"
time="2024-03-22 22:18:02" level=info msg="| 200 |     236.914µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-22 22:18:02" level=info msg="| 200 |     654.802µs |             ::1 | GET | /ipblacks |"
time="2024-03-22 22:18:02" level=info msg="| 200 |    2.839806ms |             ::1 | GET | /replys |"
time="2024-03-22 22:18:02" level=info msg="| 200 |    4.227877ms |             ::1 | GET | /kefuinfo |"
time="2024-03-22 22:18:05" level=info msg="| 200 |    1.316705ms |       127.0.0.1 | GET | /chatIndex?kefu_id=cjk |"
time="2024-03-22 22:18:05" level=info msg="| 200 |  6.703911977s |       127.0.0.1 | GET | /ws_visitor?visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:18:05" level=info msg="| 200 |    7.934155ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-03-22 22:18:05" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-22 22:18:05" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"1\",\"uid\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-22 22:18:05" level=info msg="| 200 |    6.198772ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:18:06" level=info msg="| 200 |    1.344074ms |       127.0.0.1 | GET | /notice?kefu_id=cjk |"
time="2024-03-22 22:18:09" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"本机地址本机地址网友\",\"avator\":\"/static/images/2.png\",\"id\":\"e9d001ae-821c-4d80-b1ba-43663f8b1cda\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2024-03-22 22:18:09\",\"to_id\":\"cjk\",\"content\":\"1\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2024-03-22 22:18:09" level=info msg="| 200 |     3.67209ms |       127.0.0.1 | POST | /2/message |"
time="2024-03-22 22:18:09" level=info msg="| 404 |         113ns |       127.0.0.1 | GET | /favicon.ico |"
time="2024-03-22 22:18:11" level=info msg="| 200 |     833.794µs |             ::1 | GET | /visitor?visitorId=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:18:11" level=info msg="| 200 |    3.180289ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-22 22:18:12" level=info msg="| 200 |     995.692µs |             ::1 | GET | /visitors?page=1 |"
time="2024-03-22 22:18:41" level=info msg="| 200 |    1.469205ms |             ::1 | GET | /login |"
