time="2024-03-23 10:41:39" level=info msg="send_kefu_message <nil> {\"type\":\"userOffline\",\"data\":{\"name\":\"本机地址本机地址网友\",\"uid\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\"}}"
time="2024-03-23 10:41:39" level=info msg="| 200 | 33.896632919s |       127.0.0.1 | GET | /ws_visitor?visitor_id=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:41:41" level=info msg="| 200 |    3.380425ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2&lang=en&extra={ |"
time="2024-03-23 10:41:41" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-23 10:41:41" level=info msg="| 200 |    8.241701ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-03-23 10:41:41" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"我现在离线，稍后回复您！\",\"uid\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-23 10:41:41" level=info msg="| 404 |         206ns |             ::1 | GET | /favicon.ico |"
time="2024-03-23 10:41:41" level=info msg="| 200 |   12.839292ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:41:41" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"我现在离线，稍后回复您！\",\"uid\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\",\"username\":\"本机地址本机地址网友\"}}"
time="2024-03-23 10:41:41" level=info msg="| 200 |    5.358125ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-03-23 10:41:43" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"本机地址本机地址网友\",\"avator\":\"/static/images/2.png\",\"id\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2024-03-23 10:41:43\",\"to_id\":\"kefu2\",\"content\":\"111\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2024-03-23 10:41:43" level=info msg="| 200 |   10.585605ms |       127.0.0.1 | POST | /2/message |"
time="2024-03-23 10:41:43" level=info msg="| 404 |         113ns |             ::1 | GET | /favicon.ico |"
time="2024-03-23 10:42:02" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"本机地址本机地址网友\",\"avator\":\"/static/images/2.png\",\"id\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2024-03-23 10:42:02\",\"to_id\":\"kefu2\",\"content\":\"你好\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2024-03-23 10:42:02" level=info msg="| 200 |    5.137313ms |       127.0.0.1 | POST | /2/message |"
time="2024-03-23 10:42:05" level=info msg="| 200 |    1.273106ms |             ::1 | GET | /visitor?visitorId=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:42:05" level=info msg="| 200 |    2.481234ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:43:22" level=info msg="| 200 |   11.550446ms |             ::1 | GET | /setting |"
